"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Авторизация","1","0","Недействительные учетные данные","0"
"0","","0","Авторизация","2","0","Корректные учетные данные","0"
